"","Zip Code","$1 under $25,000","$100,000 under $200,000","$200,000 or more","$25,000 under $50,000","$50,000 under $75,000","$75,000 under $100,000","Total"
"1509",14870,1260,830,390,850,700,460,4490
"1510",14871,540,390,60,430,360,290,2070
"1511",14872,90,20,0,80,50,30,270
"1512",14873,360,100,0,300,170,110,1040
"1513",14874,50,20,0,50,0,0,120
"1514",14877,80,0,0,60,40,40,220
"1515",14878,110,50,0,80,50,30,320
"1516",14879,310,110,0,240,190,100,950
"1517",14880,220,70,0,180,120,80,670
"1518",14881,40,0,0,60,0,30,130
"1519",14882,500,350,130,420,330,210,1940
"1520",14883,620,210,30,540,330,210,1940
"1521",14884,60,0,0,30,40,30,160
"1522",14885,110,30,0,90,40,30,300
"1523",14886,940,560,150,760,520,360,3290
"1524",14889,230,80,0,200,110,80,700
"1525",14891,710,250,40,540,330,180,2050
"1526",14892,1340,360,60,1010,560,310,3640
"1527",14894,220,70,0,180,100,60,630
"1528",14895,1520,420,70,990,550,370,3920
"1529",14897,130,50,0,80,60,30,350
"1530",14898,200,60,0,160,90,50,560
"1531",14901,2460,350,50,1510,640,370,5380
"1532",14903,1110,420,180,970,590,340,3610
"1533",14904,2760,400,20,2100,940,530,6750
"1534",14905,1330,700,190,970,670,480,4340
"1535",99999,24980,12870,10000,18770,11970,7790,86380
