"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
10028,"$50,000 under $75,000","3,200"
10028,"$75,000 under $100,000","2,870"
10028,"$100,000 under $200,000","5,450"
10028,"$200,000 or more","6,730"
10029,Total,"34,360"
10029,"$1 under $25,000","13,590"
10029,"$25,000 under $50,000","10,090"
10029,"$50,000 under $75,000","5,270"
10029,"$75,000 under $100,000","2,210"
10029,"$100,000 under $200,000","2,210"
10029,"$200,000 or more",990
10030,Total,"13,590"
10030,"$1 under $25,000","5,370"
10030,"$25,000 under $50,000","4,060"
10030,"$50,000 under $75,000","2,070"
10030,"$75,000 under $100,000",930
10030,"$100,000 under $200,000",870
10030,"$200,000 or more",290
10031,Total,"28,530"
10031,"$1 under $25,000","10,680"
10031,"$25,000 under $50,000","8,640"
10031,"$50,000 under $75,000","4,690"
10031,"$75,000 under $100,000","1,980"
10031,"$100,000 under $200,000","2,000"
10031,"$200,000 or more",540
10032,Total,"28,800"
10032,"$1 under $25,000","11,350"
10032,"$25,000 under $50,000","8,730"
10032,"$50,000 under $75,000","4,510"
10032,"$75,000 under $100,000","1,930"
10032,"$100,000 under $200,000","1,840"
10032,"$200,000 or more",440
10033,Total,"26,510"
10033,"$1 under $25,000","10,270"
10033,"$25,000 under $50,000","7,520"
10033,"$50,000 under $75,000","3,850"
10033,"$75,000 under $100,000","1,780"
10033,"$100,000 under $200,000","2,250"
10033,"$200,000 or more",840
10034,Total,"19,700"
10034,"$1 under $25,000","7,540"
10034,"$25,000 under $50,000","5,410"
10034,"$50,000 under $75,000","3,010"
10034,"$75,000 under $100,000","1,560"
10034,"$100,000 under $200,000","1,730"
10034,"$200,000 or more",450
10035,Total,"15,410"
10035,"$1 under $25,000","6,010"
10035,"$25,000 under $50,000","4,380"
10035,"$50,000 under $75,000","2,250"
10035,"$75,000 under $100,000","1,070"
10035,"$100,000 under $200,000","1,240"
10035,"$200,000 or more",460
10036,Total,"18,020"
10036,"$1 under $25,000","3,760"
10036,"$25,000 under $50,000","2,820"
10036,"$50,000 under $75,000","2,450"
10036,"$75,000 under $100,000","1,940"
10036,"$100,000 under $200,000","3,910"
10036,"$200,000 or more","3,140"
