"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
11215,"$100,000 under $200,000","7,220"
11215,"$200,000 or more","6,640"
11216,Total,"29,870"
11216,"$1 under $25,000","8,480"
11216,"$25,000 under $50,000","7,750"
11216,"$50,000 under $75,000","6,020"
11216,"$75,000 under $100,000","3,090"
11216,"$100,000 under $200,000","3,320"
11216,"$200,000 or more","1,210"
11217,Total,"20,530"
11217,"$1 under $25,000","3,810"
11217,"$25,000 under $50,000","3,260"
11217,"$50,000 under $75,000","3,140"
11217,"$75,000 under $100,000","2,190"
11217,"$100,000 under $200,000","4,430"
11217,"$200,000 or more","3,700"
11218,Total,"33,100"
11218,"$1 under $25,000","11,420"
11218,"$25,000 under $50,000","7,680"
11218,"$50,000 under $75,000","4,770"
11218,"$75,000 under $100,000","2,880"
11218,"$100,000 under $200,000","4,450"
11218,"$200,000 or more","1,900"
11219,Total,"34,340"
11219,"$1 under $25,000","17,870"
11219,"$25,000 under $50,000","8,910"
11219,"$50,000 under $75,000","3,140"
11219,"$75,000 under $100,000","1,600"
11219,"$100,000 under $200,000","2,020"
11219,"$200,000 or more",800
11220,Total,"52,910"
11220,"$1 under $25,000","30,880"
11220,"$25,000 under $50,000","12,680"
11220,"$50,000 under $75,000","4,560"
11220,"$75,000 under $100,000","1,980"
11220,"$100,000 under $200,000","2,250"
11220,"$200,000 or more",560
11221,Total,"42,380"
11221,"$1 under $25,000","14,480"
11221,"$25,000 under $50,000","13,210"
11221,"$50,000 under $75,000","7,550"
11221,"$75,000 under $100,000","3,300"
11221,"$100,000 under $200,000","3,080"
11221,"$200,000 or more",760
11222,Total,"23,180"
11222,"$1 under $25,000","4,690"
11222,"$25,000 under $50,000","4,390"
11222,"$50,000 under $75,000","4,540"
11222,"$75,000 under $100,000","2,960"
11222,"$100,000 under $200,000","4,570"
11222,"$200,000 or more","2,030"
11223,Total,"33,500"
11223,"$1 under $25,000","13,550"
11223,"$25,000 under $50,000","8,660"
11223,"$50,000 under $75,000","4,350"
11223,"$75,000 under $100,000","2,390"
11223,"$100,000 under $200,000","3,230"
11223,"$200,000 or more","1,320"
11224,Total,"19,990"
11224,"$1 under $25,000","8,200"
11224,"$25,000 under $50,000","5,440"
11224,"$50,000 under $75,000","2,790"
11224,"$75,000 under $100,000","1,430"
11224,"$100,000 under $200,000","1,790"
11224,"$200,000 or more",340
11225,Total,"30,790"
11225,"$1 under $25,000","9,500"
11225,"$25,000 under $50,000","8,790"
11225,"$50,000 under $75,000","5,780"
11225,"$75,000 under $100,000","2,860"
11225,"$100,000 under $200,000","3,020"
11225,"$200,000 or more",840
11226,Total,"52,780"
11226,"$1 under $25,000","18,230"
11226,"$25,000 under $50,000","16,790"
11226,"$50,000 under $75,000","9,050"
11226,"$75,000 under $100,000","4,100"
11226,"$100,000 under $200,000","3,740"
11226,"$200,000 or more",870
11228,Total,"20,510"
11228,"$1 under $25,000","7,780"
11228,"$25,000 under $50,000","4,550"
11228,"$50,000 under $75,000","2,640"
11228,"$75,000 under $100,000","1,690"
11228,"$100,000 under $200,000","2,790"
11228,"$200,000 or more","1,060"
11229,Total,"37,500"
11229,"$1 under $25,000","13,060"
11229,"$25,000 under $50,000","8,800"
11229,"$50,000 under $75,000","5,350"
11229,"$75,000 under $100,000","3,430"
11229,"$100,000 under $200,000","5,130"
11229,"$200,000 or more","1,730"
11230,Total,"36,650"
11230,"$1 under $25,000","13,310"
11230,"$25,000 under $50,000","9,130"
11230,"$50,000 under $75,000","5,210"
11230,"$75,000 under $100,000","3,000"
11230,"$100,000 under $200,000","4,050"
11230,"$200,000 or more","1,950"
11231,Total,"17,100"
11231,"$1 under $25,000","3,730"
11231,"$25,000 under $50,000","2,850"
11231,"$50,000 under $75,000","2,180"
11231,"$75,000 under $100,000","1,650"
11231,"$100,000 under $200,000","3,420"
11231,"$200,000 or more","3,270"
11232,Total,"12,700"
11232,"$1 under $25,000","5,120"
11232,"$25,000 under $50,000","3,350"
11232,"$50,000 under $75,000","1,860"
11232,"$75,000 under $100,000",920
11232,"$100,000 under $200,000","1,120"
11232,"$200,000 or more",330
11233,Total,"33,410"
11233,"$1 under $25,000","12,000"
11233,"$25,000 under $50,000","10,500"
11233,"$50,000 under $75,000","5,730"
11233,"$75,000 under $100,000","2,400"
11233,"$100,000 under $200,000","2,240"
11233,"$200,000 or more",540
11234,Total,"42,950"
11234,"$1 under $25,000","12,410"
11234,"$25,000 under $50,000","10,160"
11234,"$50,000 under $75,000","6,890"
11234,"$75,000 under $100,000","4,470"
11234,"$100,000 under $200,000","6,950"
11234,"$200,000 or more","2,070"
11235,Total,"40,060"
11235,"$1 under $25,000","14,830"
11235,"$25,000 under $50,000","9,230"
11235,"$50,000 under $75,000","5,740"
11235,"$75,000 under $100,000","3,590"
11235,"$100,000 under $200,000","4,950"
11235,"$200,000 or more","1,720"
11236,Total,"48,780"
11236,"$1 under $25,000","15,970"
11236,"$25,000 under $50,000","14,990"
11236,"$50,000 under $75,000","8,480"
11236,"$75,000 under $100,000","4,370"
11236,"$100,000 under $200,000","4,470"
11236,"$200,000 or more",500
11237,Total,"24,010"
11237,"$1 under $25,000","8,460"
11237,"$25,000 under $50,000","7,740"
11237,"$50,000 under $75,000","4,370"
11237,"$75,000 under $100,000","1,650"
11237,"$100,000 under $200,000","1,500"
11237,"$200,000 or more",290
11238,Total,"31,860"
11238,"$1 under $25,000","6,350"
11238,"$25,000 under $50,000","6,030"
11238,"$50,000 under $75,000","5,800"
11238,"$75,000 under $100,000","3,830"
11238,"$100,000 under $200,000","6,060"
11238,"$200,000 or more","3,790"
11239,Total,"7,690"
11239,"$1 under $25,000","2,680"
11239,"$25,000 under $50,000","2,400"
11239,"$50,000 under $75,000","1,470"
11239,"$75,000 under $100,000",690
11239,"$100,000 under $200,000",450
11239,"$200,000 or more",**
11354,Total,"32,010"
11354,"$1 under $25,000","17,150"
11354,"$25,000 under $50,000","6,750"
11354,"$50,000 under $75,000","3,260"
11354,"$75,000 under $100,000","1,830"
11354,"$100,000 under $200,000","2,350"
11354,"$200,000 or more",670
11355,Total,"52,930"
11355,"$1 under $25,000","33,140"
11355,"$25,000 under $50,000","10,960"
11355,"$50,000 under $75,000","4,040"
11355,"$75,000 under $100,000","2,090"
11355,"$100,000 under $200,000","2,220"
11355,"$200,000 or more",480
11356,Total,"13,130"
11356,"$1 under $25,000","5,880"
11356,"$25,000 under $50,000","3,320"
11356,"$50,000 under $75,000","1,630"
11356,"$75,000 under $100,000",920
11356,"$100,000 under $200,000","1,160"
11356,"$200,000 or more",220
11357,Total,"20,410"
11357,"$1 under $25,000","6,050"
11357,"$25,000 under $50,000","3,810"
11357,"$50,000 under $75,000","2,780"
11357,"$75,000 under $100,000","2,140"
11357,"$100,000 under $200,000","4,030"
11357,"$200,000 or more","1,600"
11358,Total,"19,940"
11358,"$1 under $25,000","7,940"
11358,"$25,000 under $50,000","4,250"
11358,"$50,000 under $75,000","2,470"
11358,"$75,000 under $100,000","1,640"
11358,"$100,000 under $200,000","2,730"
11358,"$200,000 or more",910
11360,Total,"10,110"
11360,"$1 under $25,000","2,470"
11360,"$25,000 under $50,000","1,680"
11360,"$50,000 under $75,000","1,340"
11360,"$75,000 under $100,000","1,130"
11360,"$100,000 under $200,000","2,400"
11360,"$200,000 or more","1,090"
11361,Total,"14,200"
11361,"$1 under $25,000","4,700"
11361,"$25,000 under $50,000","2,830"
11361,"$50,000 under $75,000","1,940"
11361,"$75,000 under $100,000","1,490"
11361,"$100,000 under $200,000","2,350"
11361,"$200,000 or more",890
11362,Total,"8,930"
11362,"$1 under $25,000","2,520"
11362,"$25,000 under $50,000","1,480"
11362,"$50,000 under $75,000","1,220"
11362,"$75,000 under $100,000","1,000"
11362,"$100,000 under $200,000","1,920"
11362,"$200,000 or more",790
11363,Total,"3,480"
11363,"$1 under $25,000",930
11363,"$25,000 under $50,000",530
11363,"$50,000 under $75,000",470
11363,"$75,000 under $100,000",350
11363,"$100,000 under $200,000",680
11363,"$200,000 or more",520
11364,Total,"18,250"
11364,"$1 under $25,000","5,710"
11364,"$25,000 under $50,000","3,640"
11364,"$50,000 under $75,000","2,570"
11364,"$75,000 under $100,000","1,990"
11364,"$100,000 under $200,000","3,250"
11364,"$200,000 or more","1,090"
11365,Total,"22,210"
11365,"$1 under $25,000","8,220"
11365,"$25,000 under $50,000","5,150"
11365,"$50,000 under $75,000","3,040"
11365,"$75,000 under $100,000","2,020"
11365,"$100,000 under $200,000","2,980"
11365,"$200,000 or more",800
11366,Total,"6,810"
11366,"$1 under $25,000","2,310"
11366,"$25,000 under $50,000","1,380"
11366,"$50,000 under $75,000",920
11366,"$75,000 under $100,000",610
11366,"$100,000 under $200,000","1,120"
11366,"$200,000 or more",470
11367,Total,"19,210"
11367,"$1 under $25,000","7,460"
11367,"$25,000 under $50,000","4,360"
11367,"$50,000 under $75,000","2,690"
11367,"$75,000 under $100,000","1,670"
11367,"$100,000 under $200,000","2,300"
11367,"$200,000 or more",730
11368,Total,"48,030"
11368,"$1 under $25,000","22,950"
11368,"$25,000 under $50,000","14,530"
11368,"$50,000 under $75,000","6,210"
11368,"$75,000 under $100,000","2,450"
11368,"$100,000 under $200,000","1,750"
11368,"$200,000 or more",140
11369,Total,"17,940"
11369,"$1 under $25,000","7,560"
11369,"$25,000 under $50,000","5,090"
11369,"$50,000 under $75,000","2,620"
11369,"$75,000 under $100,000","1,280"
11369,"$100,000 under $200,000","1,240"
11369,"$200,000 or more",150
11370,Total,"13,760"
11370,"$1 under $25,000","5,430"
11370,"$25,000 under $50,000","3,470"
11370,"$50,000 under $75,000","1,990"
11370,"$75,000 under $100,000","1,120"
11370,"$100,000 under $200,000","1,460"
11370,"$200,000 or more",290
11372,Total,"34,480"
11372,"$1 under $25,000","13,230"
11372,"$25,000 under $50,000","8,650"
11372,"$50,000 under $75,000","5,260"
11372,"$75,000 under $100,000","2,720"
11372,"$100,000 under $200,000","3,650"
11372,"$200,000 or more",970
11373,Total,"51,120"
11373,"$1 under $25,000","23,740"
11373,"$25,000 under $50,000","13,700"
11373,"$50,000 under $75,000","6,780"
11373,"$75,000 under $100,000","3,370"
11373,"$100,000 under $200,000","3,050"
11373,"$200,000 or more",480
11374,Total,"23,500"
11374,"$1 under $25,000","7,250"
11374,"$25,000 under $50,000","4,810"
11374,"$50,000 under $75,000","3,910"
11374,"$75,000 under $100,000","2,590"
11374,"$100,000 under $200,000","3,910"
11374,"$200,000 or more","1,030"
11375,Total,"35,320"
11375,"$1 under $25,000","8,070"
11375,"$25,000 under $50,000","5,540"
11375,"$50,000 under $75,000","5,290"
11375,"$75,000 under $100,000","4,320"
11375,"$100,000 under $200,000","7,960"
11375,"$200,000 or more","4,140"
11377,Total,"45,400"
11377,"$1 under $25,000","17,980"
11377,"$25,000 under $50,000","11,700"
11377,"$50,000 under $75,000","6,820"
11377,"$75,000 under $100,000","3,850"
11377,"$100,000 under $200,000","4,200"
11377,"$200,000 or more",850
11378,Total,"17,890"
11378,"$1 under $25,000","6,010"
11378,"$25,000 under $50,000","4,350"
11378,"$50,000 under $75,000","2,740"
11378,"$75,000 under $100,000","1,650"
11378,"$100,000 under $200,000","2,550"
11378,"$200,000 or more",590
11379,Total,"17,970"
11379,"$1 under $25,000","5,060"
11379,"$25,000 under $50,000","3,590"
11379,"$50,000 under $75,000","2,860"
11379,"$75,000 under $100,000","1,980"
11379,"$100,000 under $200,000","3,500"
11379,"$200,000 or more",980
11385,Total,"49,670"
11385,"$1 under $25,000","16,610"
11385,"$25,000 under $50,000","13,490"
11385,"$50,000 under $75,000","8,670"
11385,"$75,000 under $100,000","4,560"
11385,"$100,000 under $200,000","5,490"
11385,"$200,000 or more",850
11411,Total,"10,890"
11411,"$1 under $25,000","3,110"
11411,"$25,000 under $50,000","2,980"
11411,"$50,000 under $75,000","1,960"
11411,"$75,000 under $100,000","1,210"
11411,"$100,000 under $200,000","1,460"
11411,"$200,000 or more",170
11412,Total,"19,910"
11412,"$1 under $25,000","6,270"
11412,"$25,000 under $50,000","6,180"
11412,"$50,000 under $75,000","3,460"
11412,"$75,000 under $100,000","1,860"
11412,"$100,000 under $200,000","1,930"
11412,"$200,000 or more",210
11413,Total,"22,160"
11413,"$1 under $25,000","6,770"
11413,"$25,000 under $50,000","6,390"
11413,"$50,000 under $75,000","3,880"
11413,"$75,000 under $100,000","2,180"
11413,"$100,000 under $200,000","2,630"
11413,"$200,000 or more",310
11414,Total,"13,590"
11414,"$1 under $25,000","3,470"
11414,"$25,000 under $50,000","2,770"
11414,"$50,000 under $75,000","2,260"
11414,"$75,000 under $100,000","1,690"
11414,"$100,000 under $200,000","2,710"
11414,"$200,000 or more",690
11415,Total,"9,600"
11415,"$1 under $25,000","2,540"
11415,"$25,000 under $50,000","1,950"
11415,"$50,000 under $75,000","1,780"
11415,"$75,000 under $100,000","1,180"
11415,"$100,000 under $200,000","1,710"
11415,"$200,000 or more",440
11416,Total,"12,920"
11416,"$1 under $25,000","5,290"
11416,"$25,000 under $50,000","4,050"
11416,"$50,000 under $75,000","1,930"
11416,"$75,000 under $100,000",840
11416,"$100,000 under $200,000",760
11416,"$200,000 or more",50
11417,Total,"15,510"
11417,"$1 under $25,000","5,400"
11417,"$25,000 under $50,000","4,530"
11417,"$50,000 under $75,000","2,430"
11417,"$75,000 under $100,000","1,360"
11417,"$100,000 under $200,000","1,600"
11417,"$200,000 or more",190
11418,Total,"18,360"
11418,"$1 under $25,000","7,160"
11418,"$25,000 under $50,000","5,290"
11418,"$50,000 under $75,000","2,670"
11418,"$75,000 under $100,000","1,350"
11418,"$100,000 under $200,000","1,580"
11418,"$200,000 or more",310
11419,Total,"25,120"
11419,"$1 under $25,000","10,970"
11419,"$25,000 under $50,000","7,540"
11419,"$50,000 under $75,000","3,390"
11419,"$75,000 under $100,000","1,630"
11419,"$100,000 under $200,000","1,440"
11419,"$200,000 or more",150
11420,Total,"24,350"
11420,"$1 under $25,000","9,030"
11420,"$25,000 under $50,000","7,200"
11420,"$50,000 under $75,000","3,890"
11420,"$75,000 under $100,000","2,030"
11420,"$100,000 under $200,000","1,970"
11420,"$200,000 or more",230
11421,Total,"20,890"
11421,"$1 under $25,000","7,940"
11421,"$25,000 under $50,000","6,210"
11421,"$50,000 under $75,000","3,260"
11421,"$75,000 under $100,000","1,550"
11421,"$100,000 under $200,000","1,740"
11421,"$200,000 or more",190
11422,Total,"16,970"
11422,"$1 under $25,000","5,210"
11422,"$25,000 under $50,000","4,910"
11422,"$50,000 under $75,000","2,970"
11422,"$75,000 under $100,000","1,670"
11422,"$100,000 under $200,000","1,960"
11422,"$200,000 or more",250
11423,Total,"15,680"
11423,"$1 under $25,000","5,450"
11423,"$25,000 under $50,000","4,570"
11423,"$50,000 under $75,000","2,480"
11423,"$75,000 under $100,000","1,360"
11423,"$100,000 under $200,000","1,440"
11423,"$200,000 or more",380
11426,Total,"9,610"
11426,"$1 under $25,000","2,980"
11426,"$25,000 under $50,000","2,020"
11426,"$50,000 under $75,000","1,430"
11426,"$75,000 under $100,000","1,000"
11426,"$100,000 under $200,000","1,770"
11426,"$200,000 or more",410
11427,Total,"11,970"
11427,"$1 under $25,000","3,660"
11427,"$25,000 under $50,000","2,940"
11427,"$50,000 under $75,000","1,880"
11427,"$75,000 under $100,000","1,320"
11427,"$100,000 under $200,000","1,720"
11427,"$200,000 or more",450
11428,Total,"10,120"
11428,"$1 under $25,000","3,390"
11428,"$25,000 under $50,000","2,780"
11428,"$50,000 under $75,000","1,640"
11428,"$75,000 under $100,000",960
11428,"$100,000 under $200,000","1,210"
11428,"$200,000 or more",140
11429,Total,"13,650"
11429,"$1 under $25,000","4,540"
11429,"$25,000 under $50,000","4,110"
11429,"$50,000 under $75,000","2,360"
11429,"$75,000 under $100,000","1,250"
11429,"$100,000 under $200,000","1,290"
11429,"$200,000 or more",100
11432,Total,"28,210"
11432,"$1 under $25,000","11,080"
11432,"$25,000 under $50,000","7,700"
11432,"$50,000 under $75,000","4,080"
11432,"$75,000 under $100,000","2,110"
11432,"$100,000 under $200,000","2,510"
11432,"$200,000 or more",730
11433,Total,"17,310"
11433,"$1 under $25,000","6,770"
11433,"$25,000 under $50,000","5,590"
11433,"$50,000 under $75,000","2,640"
11433,"$75,000 under $100,000","1,170"
11433,"$100,000 under $200,000","1,060"
11433,"$200,000 or more",80
11434,Total,"33,830"
11434,"$1 under $25,000","10,930"
11434,"$25,000 under $50,000","10,400"
11434,"$50,000 under $75,000","6,320"
11434,"$75,000 under $100,000","3,140"
11434,"$100,000 under $200,000","2,800"
11434,"$200,000 or more",240
11435,Total,"26,840"
11435,"$1 under $25,000","9,790"
11435,"$25,000 under $50,000","7,730"
11435,"$50,000 under $75,000","4,350"
11435,"$75,000 under $100,000","2,260"
11435,"$100,000 under $200,000","2,440"
11435,"$200,000 or more",270
11436,Total,"10,010"
11436,"$1 under $25,000","3,420"
11436,"$25,000 under $50,000","3,120"
11436,"$50,000 under $75,000","1,740"
11436,"$75,000 under $100,000",890
11436,"$100,000 under $200,000",790
11436,"$200,000 or more",50
11501,Total,"11,210"
11501,"$1 under $25,000","2,690"
11501,"$25,000 under $50,000","1,950"
11501,"$50,000 under $75,000","1,690"
11501,"$75,000 under $100,000","1,260"
11501,"$100,000 under $200,000","2,590"
11501,"$200,000 or more","1,030"
11507,Total,"3,900"
11507,"$1 under $25,000",910
11507,"$25,000 under $50,000",550
11507,"$50,000 under $75,000",430
11507,"$75,000 under $100,000",360
11507,"$100,000 under $200,000",910
11507,"$200,000 or more",740
11509,Total,"1,270"
11509,"$1 under $25,000",260
11509,"$25,000 under $50,000",160
11509,"$50,000 under $75,000",130
11509,"$75,000 under $100,000",130
11509,"$100,000 under $200,000",270
11509,"$200,000 or more",320
11510,Total,"18,800"
11510,"$1 under $25,000","4,980"
11510,"$25,000 under $50,000","3,660"
11510,"$50,000 under $75,000","2,690"
11510,"$75,000 under $100,000","2,060"
11510,"$100,000 under $200,000","4,100"
11510,"$200,000 or more","1,310"
11514,Total,"2,490"
11514,"$1 under $25,000",550
11514,"$25,000 under $50,000",430
11514,"$50,000 under $75,000",380
11514,"$75,000 under $100,000",300
11514,"$100,000 under $200,000",580
11514,"$200,000 or more",250
11516,Total,"3,360"
11516,"$1 under $25,000",910
11516,"$25,000 under $50,000",530
11516,"$50,000 under $75,000",370
11516,"$75,000 under $100,000",310
11516,"$100,000 under $200,000",680
11516,"$200,000 or more",560
11518,Total,"5,820"
11518,"$1 under $25,000","1,330"
11518,"$25,000 under $50,000",940
11518,"$50,000 under $75,000",870
11518,"$75,000 under $100,000",680
11518,"$100,000 under $200,000","1,340"
11518,"$200,000 or more",660
11520,Total,"24,640"
11520,"$1 under $25,000","8,420"
11520,"$25,000 under $50,000","6,540"
11520,"$50,000 under $75,000","3,610"
11520,"$75,000 under $100,000","2,230"
11520,"$100,000 under $200,000","3,150"
11520,"$200,000 or more",690
11530,Total,"14,640"
11530,"$1 under $25,000","3,100"
11530,"$25,000 under $50,000","1,410"
11530,"$50,000 under $75,000","1,440"
11530,"$75,000 under $100,000","1,100"
11530,"$100,000 under $200,000","2,980"
11530,"$200,000 or more","4,610"
11542,Total,"13,930"
11542,"$1 under $25,000","4,280"
11542,"$25,000 under $50,000","3,190"
11542,"$50,000 under $75,000","1,850"
11542,"$75,000 under $100,000","1,210"
11542,"$100,000 under $200,000","2,280"
11542,"$200,000 or more","1,120"
11545,Total,"6,020"
11545,"$1 under $25,000","1,360"
11545,"$25,000 under $50,000",680
11545,"$50,000 under $75,000",590
11545,"$75,000 under $100,000",490
11545,"$100,000 under $200,000","1,150"
11545,"$200,000 or more","1,750"
11548,Total,720
11548,"$1 under $25,000",210
11548,"$25,000 under $50,000",130
11548,"$50,000 under $75,000",80
11548,"$75,000 under $100,000",50
11548,"$100,000 under $200,000",130
11548,"$200,000 or more",120
11550,Total,"29,530"
11550,"$1 under $25,000","11,890"
11550,"$25,000 under $50,000","8,810"
11550,"$50,000 under $75,000","4,040"
11550,"$75,000 under $100,000","2,030"
11550,"$100,000 under $200,000","2,350"
11550,"$200,000 or more",410
11552,Total,"13,380"
11552,"$1 under $25,000","3,550"
11552,"$25,000 under $50,000","2,650"
11552,"$50,000 under $75,000","1,930"
11552,"$75,000 under $100,000","1,400"
11552,"$100,000 under $200,000","2,700"
11552,"$200,000 or more","1,150"
11553,Total,"14,660"
11553,"$1 under $25,000","5,360"
11553,"$25,000 under $50,000","4,440"
11553,"$50,000 under $75,000","2,280"
11553,"$75,000 under $100,000","1,200"
11553,"$100,000 under $200,000","1,220"
11553,"$200,000 or more",160
11554,Total,"19,750"
11554,"$1 under $25,000","4,970"
11554,"$25,000 under $50,000","3,410"
11554,"$50,000 under $75,000","2,730"
11554,"$75,000 under $100,000","2,170"
11554,"$100,000 under $200,000","4,730"
11554,"$200,000 or more","1,740"
11557,Total,"4,090"
11557,"$1 under $25,000",940
11557,"$25,000 under $50,000",550
11557,"$50,000 under $75,000",460
11557,"$75,000 under $100,000",370
11557,"$100,000 under $200,000",850
11557,"$200,000 or more",920
11558,Total,"4,450"
11558,"$1 under $25,000","1,240"
11558,"$25,000 under $50,000",820
11558,"$50,000 under $75,000",670
11558,"$75,000 under $100,000",490
11558,"$100,000 under $200,000",940
11558,"$200,000 or more",290
11559,Total,"3,820"
11559,"$1 under $25,000","1,090"
11559,"$25,000 under $50,000",500
11559,"$50,000 under $75,000",420
11559,"$75,000 under $100,000",280
11559,"$100,000 under $200,000",590
11559,"$200,000 or more",940
11560,Total,"3,390"
11560,"$1 under $25,000",820
11560,"$25,000 under $50,000",490
11560,"$50,000 under $75,000",380
11560,"$75,000 under $100,000",240
11560,"$100,000 under $200,000",630
11560,"$200,000 or more",830
11561,Total,"19,620"
11561,"$1 under $25,000","4,330"
11561,"$25,000 under $50,000","3,040"
11561,"$50,000 under $75,000","2,850"
11561,"$75,000 under $100,000","2,440"
11561,"$100,000 under $200,000","4,640"
11561,"$200,000 or more","2,320"
11563,Total,"11,590"
11563,"$1 under $25,000","2,690"
11563,"$25,000 under $50,000","1,820"
11563,"$50,000 under $75,000","1,680"
11563,"$75,000 under $100,000","1,380"
11563,"$100,000 under $200,000","2,850"
11563,"$200,000 or more","1,170"
11565,Total,"4,750"
11565,"$1 under $25,000",930
11565,"$25,000 under $50,000",620
11565,"$50,000 under $75,000",580
11565,"$75,000 under $100,000",500
11565,"$100,000 under $200,000","1,390"
11565,"$200,000 or more",730
11566,Total,"18,290"
11566,"$1 under $25,000","3,990"
11566,"$25,000 under $50,000","2,310"
11566,"$50,000 under $75,000","2,080"
11566,"$75,000 under $100,000","1,700"
11566,"$100,000 under $200,000","4,620"
11566,"$200,000 or more","3,590"
11568,Total,"1,720"
11568,"$1 under $25,000",390
11568,"$25,000 under $50,000",200
11568,"$50,000 under $75,000",140
11568,"$75,000 under $100,000",100
11568,"$100,000 under $200,000",220
11568,"$200,000 or more",670
11570,Total,"14,360"
11570,"$1 under $25,000","3,240"
11570,"$25,000 under $50,000","1,880"
11570,"$50,000 under $75,000","1,620"
11570,"$75,000 under $100,000","1,340"
11570,"$100,000 under $200,000","2,940"
11570,"$200,000 or more","3,340"
11572,Total,"16,160"
11572,"$1 under $25,000","3,810"
11572,"$25,000 under $50,000","2,330"
11572,"$50,000 under $75,000","2,060"
11572,"$75,000 under $100,000","1,740"
11572,"$100,000 under $200,000","4,180"
11572,"$200,000 or more","2,040"
11575,Total,"9,700"
11575,"$1 under $25,000","3,800"
11575,"$25,000 under $50,000","2,860"
11575,"$50,000 under $75,000","1,470"
11575,"$75,000 under $100,000",760
11575,"$100,000 under $200,000",750
11575,"$200,000 or more",60
11576,Total,"6,390"
11576,"$1 under $25,000","1,350"
11576,"$25,000 under $50,000",610
11576,"$50,000 under $75,000",510
11576,"$75,000 under $100,000",420
11576,"$100,000 under $200,000","1,130"
11576,"$200,000 or more","2,370"
11577,Total,"6,000"
11577,"$1 under $25,000","1,350"
11577,"$25,000 under $50,000",730
11577,"$50,000 under $75,000",630
11577,"$75,000 under $100,000",530
11577,"$100,000 under $200,000","1,170"
11577,"$200,000 or more","1,590"
11579,Total,"2,570"
11579,"$1 under $25,000",560
11579,"$25,000 under $50,000",320
11579,"$50,000 under $75,000",300
11579,"$75,000 under $100,000",240
11579,"$100,000 under $200,000",580
11579,"$200,000 or more",570
11580,Total,"23,070"
11580,"$1 under $25,000","6,380"
11580,"$25,000 under $50,000","4,930"
11580,"$50,000 under $75,000","3,690"
11580,"$75,000 under $100,000","2,610"
11580,"$100,000 under $200,000","4,460"
11580,"$200,000 or more","1,000"
11581,Total,"11,190"
11581,"$1 under $25,000","2,720"
11581,"$25,000 under $50,000","1,980"
11581,"$50,000 under $75,000","1,560"
11581,"$75,000 under $100,000","1,250"
11581,"$100,000 under $200,000","2,550"
11581,"$200,000 or more","1,130"
11590,Total,"26,200"
11590,"$1 under $25,000","8,050"
11590,"$25,000 under $50,000","6,370"
11590,"$50,000 under $75,000","3,550"
11590,"$75,000 under $100,000","2,220"
11590,"$100,000 under $200,000","4,220"
11590,"$200,000 or more","1,790"
11596,Total,"5,450"
11596,"$1 under $25,000","1,210"
11596,"$25,000 under $50,000",770
11596,"$50,000 under $75,000",610
11596,"$75,000 under $100,000",530
11596,"$100,000 under $200,000","1,340"
11596,"$200,000 or more",990
11598,Total,"5,860"
11598,"$1 under $25,000","1,320"
11598,"$25,000 under $50,000",670
11598,"$50,000 under $75,000",540
11598,"$75,000 under $100,000",430
11598,"$100,000 under $200,000","1,160"
11598,"$200,000 or more","1,740"
11691,Total,"23,570"
11691,"$1 under $25,000","9,540"
11691,"$25,000 under $50,000","7,160"
11691,"$50,000 under $75,000","3,320"
11691,"$75,000 under $100,000","1,590"
11691,"$100,000 under $200,000","1,570"
11691,"$200,000 or more",390
11692,Total,"9,290"
11692,"$1 under $25,000","3,570"
11692,"$25,000 under $50,000","2,780"
11692,"$50,000 under $75,000","1,400"
11692,"$75,000 under $100,000",650
11692,"$100,000 under $200,000",760
11692,"$200,000 or more",130
11693,Total,"5,850"
11693,"$1 under $25,000","1,920"
11693,"$25,000 under $50,000","1,440"
11693,"$50,000 under $75,000",970
11693,"$75,000 under $100,000",620
11693,"$100,000 under $200,000",780
11693,"$200,000 or more",120
11694,Total,"8,910"
11694,"$1 under $25,000","2,260"
11694,"$25,000 under $50,000","1,640"
11694,"$50,000 under $75,000","1,330"
11694,"$75,000 under $100,000",930
11694,"$100,000 under $200,000","1,860"
11694,"$200,000 or more",890
11697,Total,"2,420"
11697,"$1 under $25,000",470
11697,"$25,000 under $50,000",310
11697,"$50,000 under $75,000",320
11697,"$75,000 under $100,000",310
11697,"$100,000 under $200,000",700
11697,"$200,000 or more",310
11701,Total,"15,300"
11701,"$1 under $25,000","4,860"
11701,"$25,000 under $50,000","4,090"
11701,"$50,000 under $75,000","2,410"
11701,"$75,000 under $100,000","1,380"
11701,"$100,000 under $200,000","1,960"
11701,"$200,000 or more",600
11702,Total,"7,730"
11702,"$1 under $25,000","1,690"
11702,"$25,000 under $50,000","1,090"
11702,"$50,000 under $75,000","1,000"
11702,"$75,000 under $100,000",810
11702,"$100,000 under $200,000","1,970"
11702,"$200,000 or more","1,170"
11703,Total,"9,440"
11703,"$1 under $25,000","2,350"
11703,"$25,000 under $50,000","1,940"
11703,"$50,000 under $75,000","1,600"
11703,"$75,000 under $100,000","1,150"
11703,"$100,000 under $200,000","2,030"
11703,"$200,000 or more",370
11704,Total,"21,420"
11704,"$1 under $25,000","5,900"
11704,"$25,000 under $50,000","4,860"
11704,"$50,000 under $75,000","3,590"
11704,"$75,000 under $100,000","2,380"
11704,"$100,000 under $200,000","3,950"
11704,"$200,000 or more",740
