"","zipcode","n_rats","borough","neighborhood","n_rest","rest_to_rat","rat_to_rest","score_avg","score_to_rat","rat_to_score","population","rat_per_cap","tax_rating","rat_to_tax"
"1","10001",791,"Manhattan","Chelsea and Clinton",4048,5.11757269279393,0.195405138339921,19.578557312253,0.0247516527335689,40.4013425189896,25026,0.0316071285862703,3.48525641025641,226.956041934891
"2","10002",2235,"Manhattan","Lower East Side",4501,2.01387024608501,0.496556320817596,21.826038658076,0.0097655653951123,102.400625006362,74363,0.030055269421621,2.40366748166259,929.829111992676
"3","10003",1304,"Manhattan","Lower East Side",5570,4.27147239263804,0.23411131059246,20.705565529623,0.0158785011730238,62.9782363652129,54671,0.0238517678476706,3.92783505154639,331.989501312336
"4","10004",85,"Manhattan","Lower Manhattan",1101,12.9529411764706,0.0772025431425976,20.6866485013624,0.243372335310146,4.10893045310854,3310,0.0256797583081571,4.26222222222222,19.9426485922836
"5","10005",69,"Manhattan","Lower Manhattan",502,7.27536231884058,0.137450199203187,24.8386454183267,0.359980368381546,2.77792926457615,8664,0.00796398891966759,4.1520979020979,16.6181052631579
"6","10006",159,"Manhattan","Lower Manhattan",340,2.13836477987421,0.467647058823529,19.0823529411765,0.120014798372179,8.33230579531443,3260,0.0487730061349693,4.10683760683761,38.7159209157128
"7","10007",364,"Manhattan","Lower Manhattan",1226,3.36813186813187,0.296900489396411,19.8409461663948,0.0545080938637219,18.3458992805755,7566,0.0481099656357388,4.48022598870056,81.2459016393443
"8","10009",2190,"Manhattan","Lower East Side",2470,1.12785388127854,0.88663967611336,21.8441295546559,0.0099744883811214,100.255768696136,58267,0.0375855973363997,3.01063144329897,727.422150882825
"9","10010",530,"Manhattan","Gramercy Park and Murray Hill",1934,3.64905660377358,0.274043433298862,19.3578076525336,0.0365241653821389,27.3791335007212,34763,0.0152460949860484,3.98025909932141,133.157160570366
"10","10011",1275,"Manhattan","Chelsea and Clinton",3499,2.7443137254902,0.364389825664476,19.4592740783081,0.0152621757476926,65.5214575255552,50228,0.0253842478298957,4.03119461183977,316.283415406261
"11","10012",927,"Manhattan","Greenwich Village and Soho",3878,4.18338727076591,0.239040742650851,20.0095410005157,0.0215852653727246,46.3278992744565,23034,0.0402448554311019,3.82233502538071,242.521912350598
"12","10013",1200,"Manhattan","Greenwich Village and Soho",5212,4.34333333333333,0.230237912509593,24.9503069838833,0.0207919224865695,48.0956006182665,28657,0.0418745856160798,3.57222222222222,335.92534992224
"13","10014",1287,"Manhattan","Greenwich Village and Soho",3607,2.8026418026418,0.356806210146937,19.3105073468256,0.0150042792127627,66.647653367407,29071,0.0442709229128685,4.15717539863326,309.585205479452
"14","10016",851,"Manhattan","Gramercy Park and Murray Hill",3622,4.25616921269095,0.23495306460519,21.495306460519,0.0252588795070729,39.5900380189067,52912,0.0160833081342607,3.86772655007949,220.025896086814
"15","10017",149,"Manhattan","Gramercy Park and Murray Hill",2464,16.5369127516779,0.0604707792207792,18.8019480519481,0.126187570818443,7.92471075807287,16065,0.00927482103952692,4.05377276669558,36.7558836114677
"16","10018",249,"Manhattan","Chelsea and Clinton",3080,12.3694779116466,0.0808441558441558,19.5149350649351,0.0783732331925103,12.7594582903537,8135,0.0306084818684696,3.68253968253968,67.6163793103448
"17","10019",842,"Manhattan","Chelsea and Clinton",5011,5.95130641330166,0.168030333266813,19.2137297944522,0.0228191565254777,43.8228292480266,45521,0.0184969574482107,3.75540958268934,224.209898137668
